player_id,Player,2025-26,2026-27,2027-28,2028-29
mcdanja01,Jaden McDaniels,"$24,393,104","$25,750,001","$28,006,898","$29,813,790"
huntede01,De'Andre Hunter,"$23,303,571","$24,910,714",-,-
gordoaa01,Aaron Gordon,"$22,841,455","$31,978,037","$34,536,280","P$37,094,523"
UNMAPPED,Damian Lillard,"$22,516,603","$22,516,603","$22,516,603","$22,516,603"
kuminjo01,Jonathan Kuminga,"$22,500,000","T$24,300,000",-,-
kuzmaky01,Kyle Kuzma,"$22,410,605","$20,345,152",-,-
brookdi01,Dillon Brooks,"$22,124,110","$20,992,727",-,-
caldwke01,K. Caldwell-Pope,"$21,621,500","P$21,621,500",-,-
reidna01,Naz Reid,"$21,551,724","$23,275,862","$25,000,000","$26,724,138"
vuevini01,Nikola Vucevic,"$21,481,481",-,-,-
johnsca01,Cameron Johnson,"$21,057,065","$23,062,500",-,-
powelno01,Norman Powell,"$20,482,758",-,-,-
allenja01,Jarrett Allen,"$20,000,000","$28,000,000","$30,240,000","$32,480,000"
poeltja01,Jakob Poeltl,"$19,500,000","$19,500,000","$27,300,000","$29,484,000"
hartjo01,Josh Hart,"$19,472,240","$20,923,760","T$22,375,280",-
bealbr01,Bradley Beal,"$19,383,010","$19,383,010","$19,383,010","$19,383,010"
nurkiju01,Jusuf Nurkic,"$19,375,000",-,-,-
barneha01,Harrison Barnes,"$19,000,000",-,-,-
sextoco01,Collin Sexton,"$18,975,000",-,-,-
monkma01,Malik Monk,"$18,797,619","$20,190,035","P$21,582,451",-
aldamsa01,Santiago Aldama,"$18,485,916","$17,007,043","T$17,007,043",-
hachiru01,Rui Hachimura,"$18,259,259",-,-,-
dortlu01,Luguentz Dort,"$18,222,222","T$18,222,222",-,-
carusal01,Alex Caruso,"$18,102,100","$19,550,160","$20,998,320","$22,446,480"
nembhan01,Andrew Nembhard,"$18,102,000","$19,550,160","$20,998,320",-
zubaciv01,Ivica Zubac,"$18,102,000","$19,550,160","$20,998,320",-
colliza01,Zach Collins,"$18,080,496",-,-,-
willipa01,Patrick Williams,"$18,000,000","$18,000,000","$18,000,000","P$18,000,000"
huertke01,Kevin Huerter,"$17,991,071",-,-,-
johnske01,Keldon Johnson,"$17,500,000","$17,500,000",-,-
allengr01,Grayson Allen,"$16,875,000","$18,125,000","P$19,375,000",-
robindu01,Duncan Robinson,"$16,834,692","$15,992,957","$15,151,222",-
thompkl01,Klay Thompson,"$16,666,667","P$17,460,317",-,-
bogdabo01,B. Bogdanovic,"$16,020,000","T$16,020,000",-,-
UNMAPPED,Max Strus,"$15,936,452","$16,660,836",-,-
mannte01,Terance Mann,"$15,500,000","$15,500,000","$16,000,000",-
banchpa01,Paolo Banchero,"$15,334,769","$41,250,000","$44,550,000","$47,850,000"
alexani01,N. Alexander-Walker,"$15,161,800","$14,403,710","$15,161,800","P$15,919,890"
stewais01,Isaiah Stewart,"$15,000,000","$15,000,000","T$15,000,000",-
