player_id,PLAYER,TEAM,MIN,PIE
simpskj01,KJ Simpson,CHA,15.9,6.3
sochaje01,Jeremy Sochan,SAS,13.1,6.3
wellsja01,Jaylen Wells,MEM,26.9,6.2
poweldr01,Drake Powell,BKN,19,6.2
yabusgu01,Guerschon Yabusele,NYK,9,6.2
houstca01,Caleb Houstan,ATL,4.9,6.2
baileac01,Ace Bailey,UTA,24.9,6.1
conlemi01,Mike Conley,MIN,18.6,6.1
manntr01,Tre Mann,CHA,16.3,6.1
jrni01,Nick Smith Jr.,LAL,13.1,6.1
walkeja01,Jabari Walker,PHI,12.6,6.1
martica01,Caleb Martin,DAL,12.6,6.1
knechda01,Dalton Knecht,LAL,12.4,6.1
davisjd01,JD Davison,HOU,7.2,6.1
peterta01,Taelon Peter,IND,6.3,6.1
greenaj01,AJ Green,MIL,29.5,6
bonaad01,Adem Bona,PHI,16.7,6
greenjo01,Josh Green,CHA,16.1,6
scheiba01,Baylor Scheierman,BOS,12.8,6
smartma01,Marcus Smart,LAL,28.5,5.9
sheppbe01,Ben Sheppard,IND,21.8,5.9
willipa01,Patrick Williams,CHI,18.1,5.9
jamessi01,Sion James,CHA,24.8,5.8
jrwe01,Wendell Moore Jr.,DET,14.4,5.8
holidaa01,Aaron Holiday,HOU,13.6,5.8
clarkjo01,Jordan Clarkson,NYK,19.2,5.7
watkija01,Jamir Watkins,WAS,14.4,5.7
dennira01,RayJ Dennis,ATL,11.8,5.7
tysonhu01,Hunter Tyson,DEN,8,5.7
okogijo01,Josh Okogie,HOU,19.9,5.6
youngch01,Chris Youngblood,OKC,5,5.6
murrakr01,Kris Murray,POR,25.7,5.5
walteja01,Ja'Kobe Walter,TOR,18,5.5
dilliro01,Rob Dillingham,MIN,9.5,5.5
johnske01,Keshad Johnson,MIA,7.6,5.5
jamesbr01,Bronny James,LAL,6.9,5.5
dortlu01,Luguentz Dort,OKC,27.6,5.4
joneshe01,Herbert Jones,NOP,28.1,5.2
sandeko01,Kobe Sanders,LAC,21,5.2
batumni01,Nicolas Batum,LAC,20,5.2
coffeam01,Amir Coffey,MIL,7.9,5.2
bufkiko01,Kobe Bufkin,LAL,11.3,5.1
jakuika01,Kasparas Jakučionis,MIA,15.2,5
harriga01,Gary Harris,MIL,14.8,5
clarkja01,Jaylen Clark,MIN,14.1,5
okorois01,Isaac Okoro,CHI,25.1,4.9
sarafbe01,Ben Saraf,BKN,17.1,4.9
kolokch01,Christian Koloko,ATL,14.9,4.9
edwarju01,Justin Edwards,PHI,14.7,4.9
wilsoja01,Jalen Wilson,BKN,13.9,4.9
bryanca01,Carter Bryant,SAS,8.1,4.9
mashaja01,Jahmai Mashack,MEM,3.5,4.8
jonessp01,Spencer Jones,DEN,23.7,4.7
cliffni01,Nique Clifford,SAC,19.1,4.7
jrga01,Gary Trent Jr.,MIL,24.1,4.6
peavymi01,Micah Peavy,NOP,16,4.6
ruperra01,Rayan Rupert,POR,12,4.6
phillju01,Julian Phillips,CHI,9.2,4.6
flemira01,Rasheer Fleming,PHX,6.8,4.6
iiitr01,Trey Jemison III,NYK,6.3,4.6
tshieos01,Oscar Tshiebwe,UTA,14.8,4.5
martico01,Cody Martin,IND,13.8,4.5
iiili01,Lindy Waters III,SAS,7,4.5
agbajoc01,Ochai Agbaji,TOR,16.1,4.4
traorno01,Nolan Traore,BKN,18.6,4.3
elliske01,Keon Ellis,SAC,17.5,4.3
bouchch01,Chris Boucher,BOS,11.3,4.3
joneska01,Kam Jones,IND,6.8,4.3
princta01,Taurean Prince,MIL,21.1,4.2
jrte01,Terrence Shannon Jr.,MIN,12.8,4.2
jran01,Andre Jackson Jr.,MIL,6.5,4.2
cookeja01,Javonte Cooke,POR,6.5,4.1
willico01,Cody Williams,UTA,18,4
hawkijo01,Jordan Hawkins,NOP,14.1,3.9
thompet01,Ethan Thompson,IND,15.3,3.8
jrla01,Larry Nance Jr.,CLE,13.8,3.7
harklel01,Elijah Harkless,UTA,9.4,3.7
maluakh01,Khaman Maluach,PHX,4.6,3.6
youngja01,Jahmir Young,MIA,4.9,3.5
lowryky01,Kyle Lowry,PHI,7.4,3.4
thierad01,Adou Thiero,LAL,5.8,3.3
cissosi01,Sidy Cissoko,POR,21.6,3.1
mcderdo01,Doug McDermott,SAC,10,3.1
klebema01,Maxi Kleber,LAL,11.4,2.8
finnedo01,Dorian Finney-Smith,HOU,15.8,2.7
hayesni01,Nigel Hayes-Davis,PHX,7.6,2.7
hanseya01,Yang Hansen,POR,8.5,2.6
cainja01,Jamal Cain,ORL,7,2.5
sallihu01,Hunter Sallis,PHI,3.7,2.4
clarkbr01,Brandon Clarke,MEM,10.2,2.3
vincega01,Gabe Vincent,LAL,19.5,2.2
klintbo01,Bobi Klintman,DET,8,2.1
johnsaj01,AJ Johnson,WAS,7.1,2.1
jonescu01,Curtis Jones,DEN,5.1,2.1
templga01,Garrett Temple,TOR,2.7,2.1
biyombi01,Bismack Biyombo,SAS,5.4,1.9
maonch01,Chris Mañon,LAL,3.4,1.9
